India;2583,5;;;;3203,2
Indonesia;2983,3;;;;2669,08
Iran;2826,1;;;;#DEEL/0!
Iraq;3240,8;;;;1668
Israel;3311;;;;3493,3
Japan;1740,4;;;;2992,15
Japan;1876,7;;;;#DEEL/0!
Kazakhstan;2356;;;;1743,5
Kazakhstan;2507;;;;#DEEL/0!
Macau;1773,9;;;;2803
Mongolia;2791,5;;;;2013,333333
North Korea;2492;;;;2103,1
Oman;3493,3;;;;1571
Pakistan;2950,3;;;;2806
Pakistan;3034;;;;#DEEL/0!
Philippines;2103,1;;;;2196,65
Russia;1164,3;;;;#DEEL/0!
Russia;2142;;;;2115
Russia;2201;;;;#DEEL/0!
Russia;1872,4;;;;#DEEL/0!
0;;;;;#DEEL/0!
Russia;2096;;;;#DEEL/0!
Russia;2227,6;;;;#DEEL/0!
Saudi Arabia;3248,2;;;;#DEEL/0!
Saudi Arabia;3224,8;;;;#DEEL/0!
Singapore;2022,4;;;;#DEEL/0!
South Korea;2327,3;;;;3236,5
South Korea;2066;;;;3146
Taiwan;2212,2;;;;2112
Taiwan;2043,2;;;;#DEEL/0!
Taiwan;1405,2;;;;#DEEL/0!
Thailand;2623,8;;;;2022,4
Thailand;2512,2;;;;#DEEL/0!
Thailand;1567,8;;;;#DEEL/0!
Thailand;1996,3;;;;#DEEL/0!
Turkey;2449,6;;;;3103
United Arab;3508,7;;;;3141,316667
Emirates;;;;;2680
Uzbekistan;2823,9;;;;#DEEL/0!
Vietnam;2238;;;;3559,55
Vietnam;2182;;;;#DEEL/0!
Vietnam;1585;;;;#DEEL/0!
Vietnam;2489;;;;1871,5
Austria;1884;;;;1566
Belarus;1807;;;;#DEEL/0!
Belgium;1546;;;;#DEEL/0!
Bulgaria;2177;;;;2175,025
Croatia;1913;;;;#DEEL/0!
Czech Republic;1668;;;;#DEEL/0!
Cyprus;3314,1;;;;2579,95
Denmark;1739;;;;#DEEL/0!
Faroe Islands;840;;;;#DEEL/0!
Finland;1858;;;;3049,95
France;2836;;;;2333,8
France;1662;;;;#DEEL/0!
Germany;1626;;;;#DEEL/0!
Germany;1662;;;;2272,666667
Greece;2848;;;;1955
Greece;3102;;;;#DEEL/0!
Hungary;1988;;;;1530
Iceland;1326;;;;3032,85
Ireland;1453;;;;#DEEL/0!
Italy;1915;;;;2481,4
Italy;2473;;;;2823,9
Malta;3054;;;;#DEEL/0!
Netherlands;1662;;;;2895,45
Norway;1668;;;;2123,5
Poland;1571;;;;#DEEL/0!
Portugal;2806;;;;2965,466667
Romania;2115;;;;3065,4
Russia;1901;;;;
Russia;2178;;;;
Serbia;2112;;;;
Spain;2591;;;;
Spain;2769;;;;
Sweden;1922;;;;
Sweden;1821;;;;
Switzerland;1566;;;;
Turkey;2218;;;;
Ukraine;1955;;;;
United Kingdom;1427;;;;
United Kingdom;1633;;;;
Canada;2396,3;;;;
Canada;1799,5;;;;
Canada;2344,8;;;;
Canada;1476,8;;;;
Canada;2051;;;;
Canada;2066,4;;;;
Canada;1937,6;;;;
Canada;1827,1;;;;
Canada;2352,9;;;;
Honduras;2259,8;;;;
Mexico;3148;;;;
Mexico;2555;;;;
Mexico;2239;;;;
Mexico;2443;;;;
Nicaragua;2759,9;;;;
Panama;1743,5;;;;
Puerto Rico;2700,5;;;;
El Salvador;2957;;;;
Saint Pierre;1427,3;;;;
and Miquelon;;;;;
United States;3415,4;;;;
United States;2061,2;;;;
United States;2738,3;;;;
United States;2643,7;;;;
United States;2581,7;;;;
United States;2993,4;;;;
United States;2633,6;;;;
United States;2821;;;;
United States;2508,4;;;;
United States;2280;;;;
United States;2182,6;;;;
United States;2849,7;;;;
United States;3106,6;;;;
United States;2435,9;;;;
United States;3762,5;;;;
United States;3564,2;;;;
United States;3035,9;;;;
United States;2577,9;;;;
United States;2440,4;;;;
United States;2879,7;;;;
United States;2809,9;;;;
United States;3825,3;;;;
United States;3254,2;;;;
United States;2514,4;;;;
United States;2888,3;;;;
United States;3154;;;;
United States;2483,6;;;;
United States;2710,7;;;;
United States;2510,1;;;;
United States;2648,9;;;;
United States;2534,7;;;;
United States;3089,4;;;;
0;;;;;
United States;2726,9;;;;
United States;2498,4;;;;
United States;3871,6;;;;
United States;2021,3;;;;
United States;2340,9;;;;
United States;2606,3;;;;
United States;2829;;;;
United States;3607,8;;;;
